texto,rotulo
"Qualidade do buffet ja foi melhor, comida fria, arroz duro, sempre uma bagunça, atendentes esbarrando em sua mesa, fora ter emcontrado uma colher de plastico quebrada dentro do café!",-1
"Accho que eu to frequentando mais aqui do que a cozinha da minha casa, rsrsrsrrsss. Também, sem miséria nos tamanhos e preço justo, quer mais o q?",1
"Acho a padaria mediana. Fui no rodízio de pizza, que não foi assim tão bom, como disse mediana. Se tiver de bobeira pode ser uma opção, mas tem padarias melhores na região.",-1
Arroz Rico é praticamente uma paella sem açafrão. Recomendo!,1
"Os pratos são ótimos , mas o melhor de tudo é o ambiente !",1
Espetacular! Nao deixem de pedir o bife do diretor  500 gr de carne espetacular!!,1
Os vinhos em taça podem ser degustados antes de servidos. Ótimo para conhecer novos rótulos e ter uma harmonização certeira!,1
"Dicas: Tostada de tomate e tomilho, bacalhoada na lenha ou arroz de rabada e churros de doce de leite pra sobremesa. Chopp Stella pra acompanhar.",1
"Melhor fraldinha que já comi em São Paulo, acompanhada de um tempranillo Viña Collada... Realmente, muito bom!",1
melhor churro da cidade!,1
A comida excepcional do já aclamado Adega Santiago com uma das melhores vistas de SP... Qualquer prato com polvo ou o arroz de pato é tiro certo... Salgadissimo ( e não tô falando do sabor) $$$$$$,1
"Churros com doce de leite,  o oitavo pecado capital!",1
Porção de ostras maravilhosa!!!!!!!!!! Recomendo!,1
Atendimento bem ruim ainda!,-1
"Amo o Prato de peixes frescos, mais light impossivel!!!",1
Pedi delivery uma noite dessas estava maravilhoso!!!,1
"Bacalhau gratinado uma delicia, e dá pra 3 numa boa!",1
Arroz rossi é sensacional!,1
Felezinho com massa fresca acompanhado de churros de sobremesa! Sensacional!,1
"Serviçp, comida e decoracao muito bons. Uma das melhores opçoes para comer tapas e tomar um vinho. Os churros sao divinos, otima combinaçao com café",1
"Ambiente agradável. O legal é que não fecha enquanto outros restaurantes do shopping têm intervalos, resultado: está sempre movimentado. Pratos muito bons!",1
A alheira é pedida certa! Para acompanhar peça o Maritavora. Combina perfeitamente!,1
Arroz de Polvo. Muito bom,1
"Adorei!!! Depois da péssima experiência no Bardega, finalmente um bar decente pra tomar vinho!!!",1
"No mezanino tem-se uma otima vista, mas o serviço lentifica com a lotação. Como entrada, o Toast de Jamon com Queijo de Cabra é uma boa! E o Arroz de Polvo é muito bom!",1
"Quem quiser experimentar um coisa típica de Portugal tem que pedir uma Alheira, uma delicia!",1
Ótimo restaurante. Exceto pelo genio que colocou abobrinha naTortilla espanhola... ecaaa,1
O melhor sempre!!! Arroz de pato divino.,1
Peixes frescos e camarão,1
Entre os diferenciais destacam-se a vista aérea para um trecho da Marginal Pinheiros e o balcão de ostras. Receitas típicas de Portugal e da Espanha fazem a alegria dos casais e grupinhos acima dos 30,1
Tapas! Aproveite o croquete de Jamon com verduras,1
Arroz de pato maravilhoso!,1
"Quem não quer pagar horrores para comer comida japonesa precisa conhecer o Asia. Comida boa, sempre fresca, atendimento 5 estrelas e preço totalmente amigo #amo",1
"Vale o preço. Melhor vir aqui do que na maioria dos rodízios da região que, não agregam nada e cobram R$ 50. Aqui vc come, e consequentemente, gasta o necessário.",1
"Comida Asiática por um preço honesto, banana caramelizada Free!",1
Amo aqui! Variedade e preço justo e ainda tem chá e sobremesa free,1
"Se estiver com um grupo muito grande (mais de 4 pessoas) é mais fácil conseguir se acomodar na parte de baixo (da pra fazer uma mesa de até 16 pessoas, por exemplo)",1
"Definitivamente comida por quilo não combina com culinária japonesa. Você pode gastar pouco, mas não vai ter qualidade. Pra quem diz que é o melhor japonês da região falta conhecer a região.",-1
"Se vc quer comer um atum de qualidade, esse é o lugar!!! Além do preço muito acessível, a rotatividade faz ser um dos sashimis mais frescos q já comi... Nota 10 !!!!!",1
"Fenomenal. Atendimento bom, pessoal educado. Comida ótima! Salmão e atum <3 maravilhosos. Custo x Benefício incrível! Recomendo bastante.",1
Ótimo! Perfeito lugar para almoçar. Adoro sushi,1
"Sushis e sashimis deliciosos, Cerca de 43 reais o quilo, como sushi pesa pouco então o preço costuma ficar super bom, além do missoshiru e a banana caramelada serem brinde. Tudo muito bom.",1
"Sashimi (atum, peixe branco e salmão), é o diferencial!",1
"Restaurante por kg meio japones meio chines com comida boa, barata e um ambiente tranquilo :)",1
"Opção honesta e gostosinha de japa na região da vila Olímpia. Peça o temaki lá em cima que eles fazem na hora, fresquinho.",1
Sempre bom! Ótimo self service com banana caramelada e misso shiru grátis! =D,1
O melhor lugar para comer comida japonesa na redondeza. Ótimo custo benefício e preço por kilo super justo!,1
O salmão grelhado no friozinho dá um toque especial pro seu prato.,1
O lombo agridoce é umas das melhores partes do buffet!,1
Ótimo restaurante por quilo japonês. Melhor opção para quem não quer comer muito num rodízio e nem pagar uma fortuna nos combinados.,1
Ótima opção pra quem gosta de comida japonesa e não quer gastar muito na vila olímpia!,1
O melhor da comida oriental na região...,1
Ponto positivo: oferecem como cortesia chá de jasmim e misoshiru,1
"Cozinha oriental bem honesta, preço nem tanto. Não espere o supra-sumo da culinária oriental. Pense q tem mais a ver com comidinha caseira.",-1
"Gosto bastante da comida daqui, mas o restaurante é bastante barulhento, especialmente no andar de cima e na hora do ""rush"" (entre meio dia e 1:30pm)",-1
"Japones por kilo, peixe de qualidade ok, variedade ok. O lugar é bem simples, parece um refeitório. Custo beneficio bom.",1
"Self-service de japa,uma deliciaaaa,tem de tudo. Atendimento é ok. Muito bom ter japa por Kg nessa região,lota em horario de almoço durante a semana! Mas vale a pena.",1
Japa humilde da Vila Olimpia. Não ligue pela falta de beleza do lugar. A comida é boa! O preço honesto!,1
Muito boa a qualidade dos pratos,1
"Vale a pena pra matar a vontade de um sushi no almoço durante a semana. Misso grátis, mas tão cobrando a banana caramelada.",1
Honesto. Boa comida e bom preço para a região da Vila Olimpia.,1
"Fui com um amigo e consegui experimentar o sanduíche de mortadela, e os pastéis de camarão e o de bacalhau, dividindo todos com ele. Tudo muito bom mesmo, excelente! Mas o de camarão é insuperável!",1
"Não bastasse a organização e limpeza do mercado, na parte superior você encontra ótimas opções de restaurantes para comer e uma delas é o Hocca. Peça o bolinho de bacalhau e o pastel de camarão! ❤️",1
"Comida muito boa e bom atendimento também. Quando fui, a espera foi organizada e os garçons serviam de forma atenciosa e também trouxeram a conta numa boa. A variedade vai bem além do famoso pastel.",1
"O melhor pastel de camarão de catupiry do mundo. Delicioso, bem recheado, camarão sem casca.  O sanduíche de mortadela é delicioso mas bem grande. Vale a pena conhecer.",1
"O HOCCA é delicioso! Pastel de camarão e o Lusitano maravilhosos! Mas, qdo forem a Ribeirão Preto, nao deixem de conhecer o Alameda 79, no Novo Mercadão da Cidade, os pasteis  de lá são divinos!",1
Sempre achei o mais gostoso do Mercadão mas a organização da fila com senha para mesas e a diminuição do tempo de espera simplesmente tornou o Hocca no melhor de todos em SP,1
"O ""bolinho"" serve duas pessoas tranquilo. O pastel de camarão é bastante recheado. Tudo excelente! Vá cedo (antes do meio dia) para não ficar esperando, as filas ficam enormes!",1
"maravilhoso o pastel de camarão mas pastel de bacalhau é o carro chefe, Está no mercadão? Suba p o mezanino e venha pro Hocca. lugar aconchegante otimo para a familia e os bares escondidos no mercado",1
Toda vez que venho ao Mercadão não vou embora sem comer o pastel desde lugar. Entre todos aqui dentro esse realmente é o melhor de todos. Uma delícia vale muito a pena!,1
"Pastel de camarão com catupiry para ninguém botar defeito. Bem recheado , camarão de bom tamanho e fresco . Vale o dimdim gasto. Mas venha preparado para ficar um tempo na fila antes",1
"O melhor pastel de camarão do mundo. Impossível vir aqui e não comer. Custa 21,90 mas super vale a pena,mega recheado. Eu compro pra viagem pq a fila pra sentar nas mesas é mais de 50 minutos.",1
"Vir ao mercado municipal e deixar de comer um pastel aqui é um pecado! R$ 23 a unidade, mas vale a pena cada centavo! O de bacalhau é delicioso, mas meu preferido é o de camarão! Mto bom!!",1
"Passeando no Mercadão? Pare no Hocca e delicie-se com o famoso sanduíche de mortadela. Pra fugir disso, vá de pastel de bacalhau e um chopinho Heineken pra completar o passeio. Aprovadíssimo!",1
"O melhor sanduíche de mortadela do planeta. Acompanha bem um bolinho de aipim e um chopp. Não esqueça do molho caseiro de pimenta! Agora, se prepare para filas e mau atendimento.",1
"Aproveita a fila pra tomar um chopp Xingu. Na verdade, pelo tamanho dela, dá tempo de tomar até dois! Rs apesar disso, pastel de camarão excelente. Pra quem gosta de do doce, pastel doce e banana ;)",1
Extremamente organizados com sistema de atendimento norte americano e simpatia brasileira. Pastel de bacalhau mara... De camarão mara... Sanduíche de mortadela mara... Perfeito!,1
"Pastel de bacalhau é td de bom e o mix saque acompanha bem, se pedir fazem s/ álcool, vale a pena experimentar! Por outro lado, o sanduíche de mortadela foi a maior decepção da minha vida: salgado d+.",1
"o lanche de pernil é ótimo, depois vem o tradicional pastel de bacalhau, tudo bem organizado e higiênico, os atendentes são  sempre simpáticos e entram no clima da bagunça rs...vale cada centavo.",1
"Após uma primeira experiência não tão agradável, dei outra chance para o lugar e hoje foi totalmente diferente! O lanche COMBO estava muito bom e o suco de melancia com gengibre estava perfeito.",1
"Nao achei toda aquela coisa...      ""Queijo com pastel"" e nao senti muito gosto no queijo... Prefiro os pasteis de boas feiras em SP: menos recheio mas vc consegue sente o gosto dos ingredientes",-1
Os melhores sanduíches tradicionais de mortadela e pernil  e pastel de bacalhau da região com excelente atendimento. Ponto negativo: Valores dos sucos naturais acima da média ,1
"Ótimo sanduíche de mortadela, bolinho de bacalhau delicioso e o pastel ""camarão rei"" é mais gostoso que o de bacalhau! O chopp é Heineken e estava gelado.",1
"Recomendo o pastel de camarão e o de banana com doce de leite. Ambos grandes, bem recheados e com preço justo. Às vezes a fila de espera é grande, mas pelo o menos não tão demorada.",1
"fica no 1º andar do mercadão, tem mesinhas pra galera bater um papo, diferente das lanchonetes do térreo, que são apertadas e raramente tem um lugar pra sentar…mas não deixam de ser boas hehe",1
"Bem lotado, mas vale a pena. O bom é pedir um Chopp enquanto aguarda seu pedido. Pastel de camarão muuuito gostoso!!! A pimenta é super hot mas é muito boa, até comprei uma pra casa.",1
O tamanho da fila é condizente com o tamanho do sanduíche de mortadela. Mas sem duvidas vale a pena esperar cada segundo. Atendimento excelente e preço justo.,1
"Grego novo e da moda, sempre lotado. Comida bem feita e bem temperada em porções fartas e preços sensatos. Serviço confuso",1
"Um pouco barulhento, mas comida excelente e preço mais que justo. O burger grego é maravilhoso.",1
"Finalmente um restaurante grego delicioso e com o charme da Grécia. Tudo estava ótimo, salada myk incrível, beringela recheada, souvlaki de frango bem temperado. Atendimento 10. Epharisto, Kouzina!",1
Vocês precisam conhecer essa sobremesa!,1
Apaixonei pelo lugar 💞,1
"Finalmente um cardápio que realmente convida todos a compartilharem tudo na mesa. Vão em grupo, peçam principais, acompanhamentos, pastas e pães, deixem tudo no centro da mesa e façam um banquete.",1
"Tudo perfeitinho, ambiente descolado, comida com uma ótima apresentação e tudo delicioso, preço justo! Provei a salada myk ( amei, amei, voltarei para repetí-la) e também o burguer de cordeiro !!!!",1
"Bela opção de restaurante/bar descolado.. Dos mesmos donos do Myk, a comida grega é boa ( mas não sensacional) mas compensado pelo ambiente.. Peça vinho grego.. Já o clericot deixou mto a desejar",1
"Na foto: panelinhas de ibriq (método de prep. de café), abóbora assada c/ rúcula e pinoli, arroz com espinafre, carne de cordeiro cozida, Papoutsakia (berinjela assada) e Galaktoboureko! Tudo bão!!",1
"Boa comida. O serviço estava muito lento e bagunçado. Pouco tempo depois da abertura, já não tinha mais moussaka! E reduziram o tamanho das baklavas porque estavam acabando também...tem que melhorar.",-1
"Prato do dia era um PF grego com picadinho de cordeiro, ovo, couve com bacon, farofa de banana e feijão branco. Pra chorar comendo.",1
Senha do WiFi: parakalo,0
Souvlaki :),0
"Comida grega deliciosa, ambiente charmoso - mas, pequeno e atendimento um pouco confuso...",0
"Preços justos e porções bem servidas, souvlaki de frango aprovado!",1
Almoço bem super movimentado e concorrido. Encantada com as jarras de vinho. Pratos saborosos com porções generosas.,1
"que lugar delicioso! preços justíssimos, ambiente aconchegante, atendimento atencioso... o burger grego é muito incrível. pra voltar sempre e recomendar por aí :D",1
"Fila de espera é parte do programa, vc pode ficar no bar (o som era bom por ali) enquanto espera. Staff atencioso e ambiente badalado. Provei o espaguete de grão de bico e achei sem graça/sabor.",-1
"O souvlaki é excelente e gigante! A cerveja Fix é suave, boa pedida para acompanhar.",1
Gracinha de lugar! Atendimento muito bom e comida incrível! Prove o hambúrguer grego.,1
"Fui na inauguração, não teve nada de especial, um dos pratos que pedi nunca chegou e ninguém tomou muito conhecimento.",-1
Salada Myk é maravilhosa! :),1
"Versão mais informal e igualmente agradável do Myk. Peça um drink sem álcool ao barman (ele cria um na hora), salada Myk de entrada é imperdível e papoutsakia é boa pedida tb.",1
"Récem inaugurado e com atendimento excepcional. Dos frutos do mar de entrada à moussaka todos os pratos estavam frescos e bem executados. Preços justos, vale a pena conhecer.",1
Saladas 😆,1
"Moussaka, caipifruta de limão com abacaxi, salada grega, TUDO!",1
"Peçam uns dos cocktails, são incríveis.",1
"Experimente o ""X-Mineiro"". O melhor queijo quente que já experimentei !!!!!!!",1
O melhor Pão da Saude,1
O queijo mineiro é muito bom...,1
Tudo de bom!!!!!!!,1
"Experimentem o leite de burra, o melhor da região.",1
"O lugar é bem legal no limiar do restaurante/bar, a costela é mtu boa, provamos a moda casa a mandioca é bem frita e os acompanhamentos são ótimos. O atendimento tambem é de primeira.",1
"Costela a moda da casa, meia porção serve 3 pessoas. Ambiente bom, preço justo.",1
Constelaria de primeira! Comida boa! Cerveja gelada e bom atendimento!!!!,1
Bar do querido Zuza. Chopp Brahma em dobro de terça a quinta!!!,1
"Costela no bafo com mandioca frita, é  maravilha, recomendo!!",1
Costela divina a preços justos!,1
"Ótimas costelas no bafo , adorei",1
"Lanches ótimos e bem servidos. Os sucos são sensacionais e tem diversas opções. Se for sentar nas mesas da calçada, provavelmente virá alguém interromper sua refeição pedindo $ ou vendendo algo.",1
"Apesar do pedido ter sido demorado o atendimento foi muito bom, valeu a pena esperar pela porção de Frango a Passarinho com Fritas, muito boa!",1
"Sucos, sucos everywhere! Pode pedir qualquer um que vem no capricho. Sugestão: com pouco açúcar.",1
"Reformado ficou ótimo,muito agradável. Fica bem mais lotado aos domingos...tudo gostoso e de bom gosto.",1
"Sucos gelados, iogurtes e sorvetes de frutas muito bons. De quebra ainda tem bons lanches.",1
"O lanche é bom, mas você tem que implorar para ser atendido. A organização definitivamente não é o forte do lugar... #irritante",-1
"Muitas opções de suco, muito bons! O açaí também é bem gostoso.",1
"Sucos naturais, Açai e deliciosas porções para beliscar!!",1
Ótimos lanches e sucos! Poderia melhorar a qualidade dos condimentos!,1
Melhor custo beneficio da região! Peça os sucos com pouco açúcar.,1
Sucos a partir de 1 real. peca o suco de banana e um acai energetico,1
Açaí batido com morango e coberto de leite Ninho em pó. O melhor da região!,1
"Os lanches são maravilhosos, ambiente legal e sem música :)",1
O caldinho de feijão no inverno. Mto Bom!,1
"Suco de cupuaçu, simplesmente uma delícia!",1
"Sucos, sucos e sucos! Aqui o negócio é natural!",1
Sucos e açaí são ótimos!!!,1
O lanche de carne maluka é divino,1
Sucos refrescantes p.se refrescar nesse calorzão.,1
O suco de melancia é magia ^^,1
Ótimos lanches. Sucos naturais. Muito bom.,1
Suco de limão com hortelã...huuumm,1
Bolinho de Arroz.  Má muuuito bom.,1
Sempre uma boa pedida!,1
não deixe de saborear o melhor e mais crocante bolinho de arroz de sampa,1
Acho que o melhor hamburger que já comi na vida.,1
Claro que o bolinho de arroz é incrivel mas o Jubileu Burger é a pedida.,1
O Penne com aspargos e presunto cru é sensacional.,1
Tudo é bom.,1
Um dos cardápios com opções de pratos mais bacanas que já vi para um jantar ou almoço despretensioso.,1
"De todos os pratos, o campeão é o Linguine de Camarão e Abobrinha. De tão bom que ele é, fica difícil de vir aqui e pedir outra coisa.",1
"burger com pancetta, gorgonzola e molho bbq, acompanhado de onion rings = nham",1
"O Ritz Burger com Gorgonzola. E tem que ser ao ponto, mais p/mal. E tem bacon. Ou seja, é o burger perfeito.",1
penne com aspargos e presunto cru. nhammy!,1
o delivery favorito da wall street brasileira,1
Linguine de Camarão e Abobrinha...excelente!,1
"Amo, amo, amo! um dos únicos restaurantes que gosto de repetir. Adoro o atum, o linguine com camarão,a salada de presunto cru e o suco de tangerina. $$",1
A salada de couscous marroquino é simplesmente maravilhosa!,1
Bolinho. De. Arroz.,1
Como é bom ser bem atendido. Equipe simpática e atenciosa. Parabéns !,1
"A truta com amêndoas estava divina!!! Ah, o penne com aspargos e presunto cru tbm é sensacional!",1
O Ritz Burger é fantástico! Hamburguer com gorgonzola e pancetta. Mais gostoso do que os outros pratos quentes que eu já comi por lá...,1
"Como não amar? O bolinho de arroz e as caipirinhas... oh God! Fora o público, sempre lindo!",1
Nunca deixe de comer o bolinho de arroz...Experimente o penne com presunto cru e aspargos com um vinhozinho branco bem gelado...,1
Melhor onion rings do planeta!,1
Foi o primeiro ( q me lembro) a servir mini burguer...UM DELÍCIA !!!,1
Bolinho de Arroz de entrada e depois Linguine de Camarão e Abobrinha!!!!,1
Bolinho de arroz é show. Penne Mediterrâneo ou Filé Mignon com cogumelos e risotto de aipo excelentes!,1
Recomendo o bolinho de arroz de entrada e o penne com aspargos e presunto como prato principal.,1
"Caipirinha Espírito de Minas e Lichia + bolinho de arroz + penne com aspargos e presunto cru. Ambiente agradável, mas ainda prefiro o cantinho da Al. Franca...",-1
Frapucchino de Mocha Branco com Menta é delicioso!,1
"O melhor dessa loja é que é dentro da Saraiva MegaStore, então você pode tomar seu café enquanto escolhe um livro ou comprar seu livro primeiro e lê-lo feliz no espaço do Starbucks. E tem cake pop!",1
Quem curte o Frappuccino MOCHA põe o dedo aqui!,1
Sugiro provar o Chai Latte e o cinnamon roll.,1
"Perfeito, ler e tomar café...",1
O Iced Café Mocha Branco brilha muito!,1
Para dias mais quentes e para quem gosta de variedades experimentem o Shake de chai e limonada (:,1
"Prensa Francesa é um café diferente, suave e delicioso.",1
"Ambiente bacana, tranquilo com mesinhas, o Java Chip é o melhor.",1
"Com certeza no Brasil, os funcionários não são treinados para fazer um café de Starbucks como do exterior",-1
"Se vc é intolerante a lactose como eu e pediu leite de soja, fique de olho! As vezes eles não colocam. Algumas vezes erram os pedidos das bebidas.",-1
"Frapuccino, sem mais. *-*",1
"Frapuccino com base de café.. Para quem gosta de bebida gelada de café, recomendadíssimo!",1
A gerente é um anjo e OS  batistas também mas AS atendentes... DEIXAM MUITO A DESEJAR. Pena :/,-1
Vanilla Latte Venti e Cinnamon Roll,1
Ótimo ambiente para um bom papo entre amigos ,1
Adoro.....todos os cafes...com café,1
Frapuccino de morango êh o melhor! Porém no fim‑de‑semana nunca sai igual na semana!,1
"Vendedora Daisy muito atenciosa. Meu Frappuccino veio errado e ela o refez sem cobrar nada. Segundo ela, seguindo a política do Starbucks de sempre deixar os clientes satisfeitos.",1
Cappuccino de doce de leite e bolo de abacaxi com nozes coberto com chocolate!,1
Coffee Work Shop... muita gente vem aqui e passa a tarde trabalhando...,1
O muffin de mussarela de búfala é muito bom! Vale a pena experimentar.,1
Café Mocha Branco. Sensacional.,1
O Browne de doce leite é mais doce que o doce do doce de batata doce.,1
"Café chocolate branco muito doce , enjoativo!!",-1
Minha sugestão é o frapuccino base creme de doce de leite. Pegue o maior!!,1
o preferido: Frappuccino de doce de leite. peça com pouco gelo ,1
Experimente o Frapucchino de Cranberry e chocolate branco!,1
Moca Frapuccino e Muffin de Banana!!,0
Muffin de blueberry!,0
"Lugar nota 10. Ótimo atendimento. Não é um lugar barato, porém estar em um ótimo ambiente super agradável, tomando um bom vinho e comendo um delicioso fundoe vale o preço. RECOMENDO!!!",1
"Fondue de queijo o vinho é bastante presente e a porção é pequena, sobrou mais da metade dos pães. O de chocolate faltou variação de frutas. Não tem convenio com o estacionamento. Apenas razoavel.",-1
"Excelente fondue de carne: macia, saborosa e acompanhada de 6 deliciosos molhos. Indico!!! A provar o de chocolate em uma outra oportunidade...",1
"Fondue de carne muito bom, carne macia, e molhos ótimos! Fondue de queijo muito bom também, porém o queijo tem um gosto forte.",1
"Queria saber a referência de lugar de quem diz que esse é o melhor fondue de São Paulo. O pior de queijo que comi. Ambiente velho, louça horrível e ainda servem o temido vinho alemão azul. Passe longe",-1
O fondue é muito saboroso. O file mignon é frito sobre a mesa e é magnificamente macio. O contra é que não aceita cartão.,1
"O fondue continua irresistível e se engana quem acha que uma porção pra dois serve três , é pouco até.  E agora aceitam cartão de credito.",1
"Fondue de carne maravilhoso, com ótimo atendimento e espaço romantico, estilo wine bar, vale a pena ir de casalzinho...Super indico!",1
"Comida, ambiente e atendimento fantásticos! E o preço faz jus a isso tudo. Vale a pena",1
"Adoraria ter experimentado, mas não carrego 200 reais em dinheiro na carteira. Sem cartão? Estamos em 2011.",-1
"Ambiente charmoso, atmostera romântica, atendimento maravilhoso ... Eu recomendo! ;-)",1
"100 reais por pessoa é uma ofensa. Ambiente horrível, fiquei 5 minutos no lugar, levantei e fui embora fedendo fritura.",-1
Ah sim. É pouco por ser realmente irresistível.  E vinho também é essencial.,1
Gosto muito! Atendimento excelente e exclusivo.,1
Adoro o fondue de queijo deste lugar!,1
Há mais de 2 anos aceitamos cartões!!!!,1
melhor fondue de SP,1
Foundue..... Hummmmmmm,1
"São 23 versões de pastéis incrivelmente sequinhos, eleitos os melhores de SP no Comer & Beber 2012. O de carne simples pode ser acrescido de ovo, tomate e cebola. O pastel japonês é invenção da casa.",1
"Peçam pelo pastel de Frango com catupiry! Como entrada, experimentem um dos deliciosos salgados (principalmente a coxinha). Não se esqueçam de adicionar a pimentinha especial.",1
Pastel muito bom! Massa sequinha e crocante! Vale a pena. Mandei ver um de bacalhau.. tava bom demais...,1
Um dos melhores pastéis de São Paulo! Senha do wifi: bolinhodecarne :),1
"Todos os anos figurando como um dos melhores pastéis de SP, tem o pastel de carne com ovo cru o carro-chefe. Experimente também as empadas e salgados!",1
Pastelzinho sem graça. Não vale a pena.,-1
"Pastelzinho nanico com valor bem grande 4,10 por um pastel normal que nao tem nada de ""O melhor"". Não volto nunca mais. O pastel da feira humilha. Ae japão aumenta o tamanho do pastel, esse petisco.",-1
O pastel japonês é bem gostoso.,1
"Jovem e deliciosamente ""gorduroso"" rsrs",1
Pastel de Camarão c/ catupiry,1
"A massa do pastel me lembrou o bolinho da minha vó, tão caseira e deliciosa, o pastel é o melhor que já comi sem dúvida. Não é nada demais, só é caseiro.",1
"O melhor pastel que eu já comi! Único problema é o aperto, e a falta de mesas.",1
A qualidade do pastel corresponde ao preço! Super indico!!!,1
"Realmente, um dos melhores pasteis de SP",1
"Os pastéis são incríveis, o de carne com ovo vem com o ovo no ponto exato, o famoso ovo perfeito. O Japonês é uma experiência a parte. O Bolinho de camarão e o kibe merecem ser provados!",1
"Ótimos pastéis, principalmente o de frango com catupiry (e o de queijo não é de vento!!). O japonês achei meio sem gosto. Experimente também os salgados: a coxinha e o bolinho de carne são especiais!",1
"Pastelaria bem cheia pertinho da praça da Liberdade. Sempre considerada uma das melhores. Pastéis de fato são muito bons, o de bacalhau é ótimo.",1
"pastel de escarola maravilhoso, verdura bem refogadinha.",1
"Ganhou vários prêmios de melhor da cidade, mas tem BARATA na cozinha e eles num tão nem aí! #chocada",-1
"Pastel maravilhoso, mas os sucos Del Valle são muito caros. Rsrd",1
Pastel sequinho e bem recheado! Não deixem de experimentar o bolinho de batata com carne! :9,1
Peça o pastel japonês com tofu e shitake!!,1
Melhor carne com mussarela do mundo!,1
"Se em todo lugar (administrado por japas e cia) q vende pastel tem caldo de cana, pq aqui a dona mestiça nao oferece?!? Tem que rever isso aí, pq PASTEL COMBINA COM CALDO DE CANA e ponto final.",-1
"Pastel é muito bom, porém o preço é um pouco alto, mas vale a pena!",1
"A Pimenta é tão boa que você pode comprar e levar. O pastel fala por si com o tanto de premiação ""o melhor de SP"". Mesmo comendo em pé vale a pena.",1
VEGETARIANOS: experimentem o pastel de queijo minas,1
Não existe massa de bolinho de carne como a deles: leve e saborosa. O mesmo vale pra massa de pastel tão leve que se desfaz na boca!,1
"Sempre peço pastel japonês super recheado (não é de vento) com tofu, cebolinha, cogumelo shiitake, kamaboko narutomaki, massa sequinha e bem frita. Não é grande, mas acho preço justo para a região.",1
O pastel aqui é muito bom... Mas não fique somente nele! A Liberdade tem outros cantinhos com muita comida boa pra experimentar 😉,1
Menu secreto: Temaki de torô! ❤,1
Um dos Melhores Restaurante Japoneses de Sao Paulo,1
barriguinha de salmão com azeite trufado! foda!,1
Imperdível barriga de salmão e sushi de vieiras!,1
Baita japa!!,1
O melhor...,1
Barriga de salmão com azeite trufado + sashimi de viera + Hakutsuru.,1
Comida japonesa excelente. Recomendo o prato que se chama Baterá.,1
Melhor de todos os tempos.,1
"Comida japonesa espetacular!Recomendo shitake, baterá, barriguinha de salmão com azeite trufado e toro selado. O atendimento é ótimo.",1
Muito bom !!! Como sempre.,1
"Para quem gosta, o temaki de ouriço é excelente!!!",1
Niguiris de barriga de salmão com sal marinho e vieira com ovas de peixe voador.  Acompanhados com uma cerva kirin,1
"Batera, sushi de barriga de salmão e sushi de polvo. Sempre que venho peço no mínimo isso.",1
Melhor restaurante japonês do mundo!!!,1
"Amo NAGA, fim de noite Saquê e um dos melhores sushis de SP e gente linda! Eu mereço!",1
Não deixe de experimentar o Batera de salmão!,1
"Ebiten com folha de agrião, sushi de centolla, sushi de lula com limão siciliano e azeite de trufa, e pra encerrar um sushi de atum com foie grass",1
"A dica é : caso queira especiarias vá ao segundo piso , tem de experimentar ! Mas se quiser descontração fique no da esquina c a Jesuino",1
"As combinações de peixe com Foie Gras, azeite trufado e o ceviche são divinas.",1
Melhor Japa de SP!!!,1
Sushi de Vieira é mto bom!,1
"Melhores pratos: baterá, sashimi de barriga de salmao com limao siciliano e sushi de salmao celado. A salada de entrada também é muito boa",1
Mame (soja cozida) c cerveja. Outra sugestao eh o pantanal ( sushi de pepino c atum ou salmão + kani+ ovas+camarão). Mto bom e bem leve jah q não tem arroz....,1
Baterá é muito bom!,1
"Melhor de todos! Sushi barriga de salmao trufado, ebifurai, temaki de baterá, sashimi de toro!!",1
Melhor sushi de vieira da cidade.,1
melhores docinhos de SP!,1
"O melhor quindim do mundo, ♡♥",1
Os melhores doces de São Paulo! Banquete para os sentidos :-))),1
Fornecem para a casa do pão de queijo mas na fábrica você os experimenta saindo do forno.,1
Uma doceira que só faz quindins. The Best Ever!,1
Quindins e bons preços.,1
Melhor quindim de São Paulo!,1
O melhor quindim do mundo!!Existem outros tipos de doces deliciosos,1
Melhor quindim de São Paulo!,1
"Melhor quindim de São Paulo. Saborosos e bem feitos. Preços: R$32,00 (caixa de 12). Ambiente: parece um escritório. Não tem como comer no local.",1
Melhor quindim de SP !!!,1
quindins e trufas perfeitos!,1
"Um tesouro escondido. Em toda minha vida, nunca comi um quindim melhor do que o daqui. O Camafeu também é ótimo!",1
Adivinha ...,1
"Sensacional. Crepes deliciosos a preços bem acessíveis. Perfeito pra quem quer uma sobremesa diferente e gostosa com os amigos sem gastar muito. O atendimento demora um pouco, mas a espera vale a pena",1
"Lugar pequeno, mas super autêntico e aconchegante.Serviço super rápido. Crepe de Nutella com morango e banana(15,00) e uma bola de sorvete(custo adicional de 2,00). Atendimento ótimo.Super recomendo!",1
"Hoje (11/03/16), descobri que há um crepe cone doce especial de Páscoa: massa de chocolate, bolinhas de chocolate, sorvete de flocos, Nutella, ovinho de chocolate e calda de chocolate. Vai fundo!!!!",1
"Lugar perfeito para você dar uma passada no final da tarde, atendentes super simpática, lugar perfeito também para ir com muitos amigos e curtir seu cafézinho/crepe ao som de um bom k-pop (corean pop)",1
